loop,generation,qd_score,max_fitness,coverage,time,frames,es_updates,surrogate_updates,rl_updates,evaluations,actor_fitness,center_fitness,pop_mean,pop_median,pop_std,pop_min,pop_max,center_mean,center_median,center_std,center_min,center_max,sigma,eigen_change,injection_norm,actor_weight,rl_step_norm,es_step_norm,surrogate_step_norm,es_rl_cosine,es_rl_sign,actor_es_dist,surr_fit_cosine,surr_fit_sign,surr_rl_cosine,surr_rl_sign,es_dist,rl_dist,start_cos_sim,spearmans_correlation,spearmans_pvalue,canonical_step_norm,cma_canonical_cosine,cma_canonical_sign,canonical_rl_cosine,canonical_rl_sign,spearman_omega,tr_gdr_lambda,tr_gdr_d
,1,485.19632,102.78575,0.1953125,30.352367162704468,1000,0,0,0,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,2,490.53223,105.14646,0.1953125,22.12656307220459,2000,1,0,0,10,nan,102.78575,101.11126,100.92633,3.583726,95.136505,108.262985,105.45217,105.33225,0.78007585,104.50597,106.87898,-inf,-inf,1.0,0.27075312,nan,0.1251023,0.08578048,nan,0.0,nan,0.2870519,0.59063447,nan,0.0,0.1251023,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,3,490.53223,105.14646,0.1953125,0.18839693069458008,3000,2,0,0,20,nan,105.14646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,4,490.53223,105.14646,0.1953125,0.18129444122314453,4000,3,0,0,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,5,490.53223,105.14646,0.1953125,0.18314504623413086,5000,4,0,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,6,490.53223,105.14646,0.1953125,0.18114829063415527,6000,5,0,0,50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,7,490.53223,105.14646,0.1953125,0.1815032958984375,7000,6,0,0,60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,8,490.53223,105.14646,0.1953125,0.18149590492248535,8000,7,0,0,70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,9,490.53223,105.14646,0.1953125,0.18144559860229492,9000,8,0,0,80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,10,490.53223,105.14646,0.1953125,0.18124771118164062,10000,9,0,0,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
,11,490.53223,105.14646,0.1953125,0.18163156509399414,11000,10,0,0,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-inf,-inf,nan,0.45627266,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,nan,nan,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,-inf
